aqi,aqiInfo,aqiLevel,bWendu,city,date,fengli,fengxiang,tianqi,yWendu
56,良,2,28,杭州,2017-05-25,1-2级,北风,晴,17
80,良,2,31,杭州,2017-05-26,1-2级,东北风,晴,16
103,轻度污染,3,31,杭州,2017-05-27,1-2级,南风,晴,18
83,良,2,32,杭州,2017-05-28,1-2级,东风,晴,19
70,良,2,33,杭州,2017-05-29,1-2级,东风,晴,20
64,良,2,33,杭州,2017-05-30,1-2级,东南风,多云,22
97,良,2,33,杭州,2017-05-31,1-2级,西南风,阵雨,23
105,轻度污染,3,29,杭州,2017-06-01,1-2级,东南风,阵雨~多云,23
79,良,2,29,杭州,2017-06-02,3-4级,东风,多云,21
70,良,2,31,杭州,2017-06-03,1-2级,东风,多云~晴,22
47,优,1,29,杭州,2017-06-04,3-4级,东风,多云~阴,20
39,优,1,23,杭州,2017-06-05,1-2级,东风,中到大雨~阵雨,20
41,优,1,27,杭州,2017-06-06,1-2级,西风,阵雨~阴,20
47,优,1,30,杭州,2017-06-07,4-5级,西北风,多云,21
94,良,2,32,杭州,2017-06-08,1-2级,东南风,多云~阴,23
72,良,2,30,杭州,2017-06-09,3-4级,南风,阵雨,24
34,优,1,30,杭州,2017-06-10,4-5级,西南风,雷阵雨~中雨,22
32,优,1,25,杭州,2017-06-11,4-5级,东北风,中到大雨,21
30,优,1,23,杭州,2017-06-12,3-4级,东风,中到大雨,19
31,优,1,22,杭州,2017-06-13,1-2级,东北风,中到大雨~阵雨,20
39,优,1,26,杭州,2017-06-14,1-2级,东北风,阵雨~阴,19
54,良,2,28,杭州,2017-06-15,1-2级,东风,阴,19
57,良,2,27,杭州,2017-06-16,3-4级,东南风,阴~多云,18
46,优,1,28,杭州,2017-06-17,1-2级,东风,多云,19
42,优,1,30,杭州,2017-06-18,1-2级,东南风,多云~阴,21
36,优,1,27,杭州,2017-06-19,1-2级,东南风,阵雨,22
48,优,1,26,杭州,2017-06-20,1-2级,东风,阵雨~阴,22
57,良,2,29,杭州,2017-06-21,1-2级,东南风,阵雨,22
42,优,1,28,杭州,2017-06-22,1-2级,东风,阵雨~阴,22
50,优,1,28,杭州,2017-06-23,1-2级,东南风,中雨,25
23,优,1,28,杭州,2017-06-24,1-2级,西南风,暴雨~大雨,23
27,优,1,26,杭州,2017-06-25,1-2级,西南风,暴雨~阵雨,21
47,优,1,28,杭州,2017-06-26,1-2级,西南风,阴,21
50,优,1,28,杭州,2017-06-27,1-2级,南风,阵雨,22
45,优,1,27,杭州,2017-06-28,1-2级,南风,阵雨~中雨,22
30,优,1,28,杭州,2017-06-29,1-2级,南风,阵雨,24
38,优,1,32,杭州,2017-06-30,1-2级,南风,多云,25
48,优,1,34,杭州,2017-07-01,1-2级,南风,多云,25
46,优,1,34,杭州,2017-07-02,1-2级,南风,多云,26
27,优,1,33,杭州,2017-07-03,1-2级,南风,雷阵雨~阵雨,25
27,优,1,33,杭州,2017-07-04,1-2级,南风,雷阵雨~多云,25
38,优,1,32,杭州,2017-07-05,1-2级,南风,雷阵雨~多云,25
32,优,1,34,杭州,2017-07-06,1-2级,南风,雷阵雨~多云,26
38,优,1,35,杭州,2017-07-07,3-4级,南风,多云~晴,27
34,优,1,34,杭州,2017-07-08,3-4级,南风,雷阵雨~多云,28
32,优,1,34,杭州,2017-07-09,1-2级,南风,雷阵雨~多云,28
31,优,1,34,杭州,2017-07-10,1-2级,西南风,小雨,24
28,优,1,31,杭州,2017-07-11,1-2级,西南风,阵雨~阴,26
46,优,1,35,杭州,2017-07-12,1-2级,西南风,多云,27
50,优,1,37,杭州,2017-07-13,1-2级,西南风,多云,28
53,良,2,36,杭州,2017-07-14,1-2级,西南风,雷阵雨~多云,28
53,良,2,37,杭州,2017-07-15,1-2级,南风,多云~晴,27
53,良,2,38,杭州,2017-07-16,3-4级,南风,晴,28
37,优,1,38,杭州,2017-07-17,1-2级,南风,晴,28
39,优,1,37,杭州,2017-07-18,1-2级,南风,晴,29
40,优,1,38,杭州,2017-07-19,1-2级,西南风,多云,29
43,优,1,37,杭州,2017-07-20,1-2级,南风,晴~多云,29
53,良,2,38,杭州,2017-07-21,1-2级,南风,晴,29
76,良,2,40,杭州,2017-07-22,1-2级,西南风,晴,29
78,良,2,40,杭州,2017-07-23,1-2级,南风,晴,29
85,良,2,41,杭州,2017-07-24,1-2级,南风,晴,29
86,良,2,40,杭州,2017-07-25,1-2级,南风,晴,29
104,轻度污染,3,40,杭州,2017-07-26,3-4级,东风,晴,29
90,良,2,40,杭州,2017-07-27,1-2级,东风,晴,29
63,良,2,39,杭州,2017-07-28,1-2级,东风,晴,29
41,优,1,37,杭州,2017-07-29,1-2级,东南风,多云~阴,28
32,优,1,34,杭州,2017-07-30,4-5级,东风,阵雨,28
32,优,1,34,杭州,2017-07-31,4-5级,东南风,阵雨,29
30,优,1,36,杭州,2017-08-01,4-5级,东风,阵雨~多云,28
31,优,1,34,杭州,2017-08-02,3-4级,东南风,多云,27
45,优,1,37,杭州,2017-08-03,1-2级,南风,多云,28
53,良,2,38,杭州,2017-08-04,1-2级,西南风,晴~多云,28
52,良,2,37,杭州,2017-08-05,3-4级,西南风,雷阵雨~多云,28
56,良,2,35,杭州,2017-08-06,1-2级,西南风,阵雨~多云,28
58,良,2,38,杭州,2017-08-07,1-2级,南风,多云,29
49,优,1,38,杭州,2017-08-08,1-2级,西南风,雷阵雨~阵雨,27
34,优,1,33,杭州,2017-08-09,1-2级,西南风,中雨~阵雨,27
36,优,1,33,杭州,2017-08-10,1-2级,西风,阴~多云,26
61,良,2,36,杭州,2017-08-11,1-2级,东南风,多云,27
47,优,1,33,杭州,2017-08-12,1-2级,西南风,雷阵雨~多云,27
39,优,1,35,杭州,2017-08-13,1-2级,西南风,多云,27
34,优,1,34,杭州,2017-08-14,1-2级,西南风,雷阵雨~阴,27
38,优,1,33,杭州,2017-08-15,1-2级,西风,雷阵雨~多云,26
26,优,1,33,杭州,2017-08-16,1-2级,西南风,雷阵雨~多云,26
39,优,1,35,杭州,2017-08-17,1-2级,西南风,多云,26
44,优,1,36,杭州,2017-08-18,1-2级,西南风,阵雨~多云,27
50,优,1,35,杭州,2017-08-19,1-2级,南风,雷阵雨~多云,27
38,优,1,35,杭州,2017-08-20,1-2级,西南风,雷阵雨~阵雨,26
53,良,2,34,杭州,2017-08-21,1-2级,东风,雷阵雨~多云,26
36,优,1,34,杭州,2017-08-22,4-5级,东南风,雷阵雨~多云,27
31,优,1,37,杭州,2017-08-23,3-4级,东南风,多云,27
28,优,1,37,杭州,2017-08-24,1-2级,南风,晴~多云,27
39,优,1,35,杭州,2017-08-25,1-2级,东北风,雷阵雨~阵雨,27
29,优,1,31,杭州,2017-08-26,3-4级,东北风,阵雨~晴,26
38,优,1,36,杭州,2017-08-27,1-2级,东南风,多云~晴,26
35,优,1,37,杭州,2017-08-28,1-2级,东风,晴,27
51,良,2,34,杭州,2017-08-29,1-2级,西北风,雷阵雨~多云,26
39,优,1,32,杭州,2017-08-30,3-4级,东北风,雷阵雨~阵雨,25
37,优,1,30,杭州,2017-08-31,1-2级,东北风,多云,24
48,优,1,29,杭州,2017-09-01,1-2级,东北风,多云,23
48,优,1,30,杭州,2017-09-02,1-2级,东北风,多云,24
40,优,1,30,杭州,2017-09-03,1-2级,东北风,阵雨~多云,24
44,优,1,33,杭州,2017-09-04,3-4级,东风,多云,25
78,良,2,35,杭州,2017-09-05,1-2级,东北风,多云,26
87,良,2,33,杭州,2017-09-06,1-2级,东北风,雷阵雨~阵雨,25
35,优,1,29,杭州,2017-09-07,1-2级,北风,阵雨,24
39,优,1,29,杭州,2017-09-08,1-2级,东风,阴~多云,24
40,优,1,29,杭州,2017-09-09,3-4级,东风,阵雨~多云,25
43,优,1,33,杭州,2017-09-10,1-2级,西南风,多云,25
27,优,1,27,杭州,2017-09-11,3-4级,西北风,阵雨,23
39,优,1,27,杭州,2017-09-12,1-2级,东北风,阴~多云,22
54,良,2,29,杭州,2017-09-13,3-4级,东北风,多云,21
43,优,1,26,杭州,2017-09-14,3-4级,东北风,阵雨,22
45,优,1,26,杭州,2017-09-15,5-6级,北风,阵雨,22
48,优,1,28,杭州,2017-09-16,4-5级,北风,多云,19
58,良,2,30,杭州,2017-09-17,1-2级,西北风,晴,19
85,良,2,31,杭州,2017-09-18,1-2级,东风,晴~多云,21
120,轻度污染,3,32,杭州,2017-09-19,1-2级,东风,多云~中雨,21
49,优,1,25,杭州,2017-09-20,1-2级,北风,大雨~中雨,21
26,优,1,23,杭州,2017-09-21,1-2级,东北风,阵雨~阴,20
45,优,1,26,杭州,2017-09-22,1-2级,东风,阵雨,20
34,优,1,24,杭州,2017-09-23,1-2级,东风,中雨~阵雨,21
58,良,2,28,杭州,2017-09-24,1-2级,东风,阵雨~多云,21
84,良,2,30,杭州,2017-09-25,3-4级,南风,阵雨~多云,23
68,良,2,30,杭州,2017-09-26,1-2级,西南风,雷阵雨~多云,25
44,优,1,29,杭州,2017-09-27,1-2级,西北风,雷阵雨~阵雨,21
28,优,1,22,杭州,2017-09-28,1-2级,北风,小雨~多云,16
43,优,1,24,杭州,2017-09-29,1-2级,东风,阴~阵雨,20
50,优,1,25,杭州,2017-09-30,3-4级,东风,阵雨~多云,22
53,良,2,34,杭州,2017-10-01,1-2级,西南风,晴~多云,23
57,良,2,28,杭州,2017-10-02,1-2级,北风,阵雨,21
43,优,1,23,杭州,2017-10-03,4-5级,北风,阴~多云,19
40,优,1,23,杭州,2017-10-04,1-2级,东北风,阴,18
46,优,1,23,杭州,2017-10-05,1-2级,东北风,阴,18
61,良,2,24,杭州,2017-10-06,1-2级,北风,阴~多云,18
79,良,2,27,杭州,2017-10-07,1-2级,东风,晴~多云,19
71,良,2,29,杭州,2017-10-08,1-2级,东风,晴~多云,20
54,良,2,30,杭州,2017-10-09,3-4级,东南风,多云,22
51,良,2,32,杭州,2017-10-10,1-2级,东南风,多云~小雨,21
38,优,1,24,杭州,2017-10-11,4-5级,北风,小雨,19
26,优,1,19,杭州,2017-10-12,3-4级,北风,小雨,16
33,优,1,20,杭州,2017-10-13,3-4级,东北风,阴,17
39,优,1,19,杭州,2017-10-14,4-5级,东北风,阵雨~中雨,16
25,优,1,19,杭州,2017-10-15,4-5级,东北风,中雨,17
21,优,1,18,杭州,2017-10-16,4-5级,北风,阵雨,16
33,优,1,19,杭州,2017-10-17,3-4级,北风,小雨~阴,16
51,良,2,21,杭州,2017-10-18,3-4级,北风,多云,15
51,良,2,21,杭州,2017-10-19,1-2级,北风,阴~阵雨,16
53,良,2,21,杭州,2017-10-20,4-5级,东北风,阴~多云,14
55,良,2,22,杭州,2017-10-21,4-5级,北风,多云,14
74,良,2,23,杭州,2017-10-22,4-5级,北风,多云,13
66,良,2,21,杭州,2017-10-23,3-4级,北风,多云~晴,12
59,良,2,21,杭州,2017-10-24,3-4级,北风,晴,10
68,良,2,22,杭州,2017-10-25,1-2级,东北风,多云,12
66,良,2,22,杭州,2017-10-26,1-2级,东风,多云,12
75,良,2,23,杭州,2017-10-27,1-2级,东北风,晴,13
66,良,2,22,杭州,2017-10-28,3-4级,北风,晴~多云,13
80,良,2,21,杭州,2017-10-29,4-5级,北风,阴~多云,10
54,良,2,16,杭州,2017-10-30,3-4级,北风,多云,10
65,良,2,20,杭州,2017-10-31,1-2级,东北风,晴,10
69,良,2,22,杭州,2017-11-01,1-2级,南风,多云,12
78,良,2,24,杭州,2017-11-02,1-2级,南风,多云,12
102,轻度污染,3,22,杭州,2017-11-03,4-5级,北风,阴~多云,9
48,优,1,17,杭州,2017-11-04,3-4级,北风,多云,8
56,良,2,18,杭州,2017-11-05,1-2级,东风,多云,11
83,良,2,21,杭州,2017-11-06,1-2级,东南风,多云,14
80,良,2,20,杭州,2017-11-07,1-2级,南风,小雨~阴,14
109,轻度污染,3,21,杭州,2017-11-08,1-2级,东北风,多云~晴,12
69,良,2,22,杭州,2017-11-09,3-4级,东风,晴~多云,14
80,良,2,20,杭州,2017-11-10,3-4级,西北风,小雨~阴,12
63,良,2,18,杭州,2017-11-11,3-4级,东北风,多云,11
58,良,2,19,杭州,2017-11-12,1-2级,东风,多云~阴,13
75,良,2,20,杭州,2017-11-13,1-2级,东北风,小雨,15
90,良,2,17,杭州,2017-11-14,1-2级,东北风,阴,13
67,良,2,17,杭州,2017-11-15,1-2级,东风,阴~多云,14
36,优,1,18,杭州,2017-11-16,1-2级,东南风,小雨,15
33,优,1,18,杭州,2017-11-17,4-5级,北风,小雨,9
34,优,1,14,杭州,2017-11-18,5-6级,北风,阴~多云,6
49,优,1,12,杭州,2017-11-19,3-4级,东北风,多云~小雨,6
55,良,2,12,杭州,2017-11-20,1-2级,东北风,阴,8
70,良,2,11,杭州,2017-11-21,1-2级,东风,小雨,9
59,良,2,14,杭州,2017-11-22,3-4级,北风,多云~晴,6
104,轻度污染,3,12,杭州,2017-11-23,1-2级,西北风,晴~多云,5
72,良,2,15,杭州,2017-11-24,1-2级,西北风,多云,6
64,良,2,16,杭州,2017-11-25,1-2级,东南风,多云~阴,8
70,良,2,18,杭州,2017-11-26,1-2级,北风,多云,6
117,轻度污染,3,16,杭州,2017-11-27,1-2级,东风,多云,9
98,良,2,20,杭州,2017-11-28,1-2级,北风,多云~小雨,10
108,轻度污染,3,14,杭州,2017-11-29,3-4级,东北风,中雨~小到中雨,10
40,优,1,12,杭州,2017-11-30,3-4级,北风,小雨~阴,7
63,良,2,10,杭州,2017-12-01,1-2级,东北风,阴,6
90,良,2,13,杭州,2017-12-02,1-2级,东南风,多云,6
96,良,2,16,杭州,2017-12-03,1-2级,东风,阴,7
124,轻度污染,3,12,杭州,2017-12-04,4-5级,北风,多云,3
80,良,2,10,杭州,2017-12-05,1-2级,北风,晴~多云,3
98,良,2,12,杭州,2017-12-06,1-2级,东风,晴,5
148,轻度污染,3,13,杭州,2017-12-07,1-2级,北风,多云,4
99,良,2,9,杭州,2017-12-08,3-4级,北风,晴~多云,1
64,良,2,11,杭州,2017-12-09,1-2级,北风,晴~多云,3
83,良,2,13,杭州,2017-12-10,3-4级,西北风,晴,2
89,良,2,12,杭州,2017-12-11,3-4级,东北风,晴,3
96,良,2,12,杭州,2017-12-12,3-4级,东风,多云,4
49,优,1,11,杭州,2017-12-13,3-4级,东北风,阴~小雨,5
59,良,2,8,杭州,2017-12-14,1-2级,东北风,小雨~阴,7
44,优,1,8,杭州,2017-12-15,1-2级,东北风,小雨,5
97,良,2,6,杭州,2017-12-16,4-5级,无持续风向,阴~晴,-2
88,良,2,6,杭州,2017-12-17,3-4级,北风,晴,-2
72,良,2,8,杭州,2017-12-18,1-2级,北风,晴,0
84,良,2,10,杭州,2017-12-19,3-4级,东北风,晴,1
81,良,2,12,杭州,2017-12-20,1-2级,西北风,晴,0
88,良,2,12,杭州,2017-12-21,1-2级,东南风,晴,0
114,轻度污染,3,15,杭州,2017-12-22,1-2级,东南风,晴~多云,4
130,轻度污染,3,16,杭州,2017-12-23,3-4级,东南风,多云,7
123,轻度污染,3,13,杭州,2017-12-24,4-5级,北风,多云~晴,1
94,良,2,11,杭州,2017-12-25,1-2级,东北风,晴,3
134,轻度污染,3,14,杭州,2017-12-26,1-2级,东风,晴,3
111,轻度污染,3,14,杭州,2017-12-27,1-2级,北风,多云~阴,6
109,轻度污染,3,10,杭州,2017-12-28,1-2级,东南风,小雨,7
75,良,2,14,杭州,2017-12-29,1-2级,东风,多云~阴,8
109,轻度污染,3,12,杭州,2017-12-30,4-5级,西北风,小雨~多云,4
237,重度污染,5,11,杭州,2017-12-31,3-4级,北风,晴,2
164,中度污染,4,12,杭州,2018-01-01,1-2级,东风,多云,5
119,轻度污染,3,13,杭州,2018-01-02,1-2级,东风,阴~小雨,7
58,良,2,10,杭州,2018-01-03,3-4级,东北风,中雨,6
27,优,1,6,杭州,2018-01-04,3-4级,东北风,中雨~小雨,2
35,优,1,6,杭州,2018-01-05,3-4级,北风,小雨~阴,2
99,良,2,7,杭州,2018-01-06,1-2级,东北风,小雨,0
46,优,1,8,杭州,2018-01-07,1-2级,西北风,小雨,1
77,良,2,5,杭州,2018-01-08,4-5级,西北风,小雨~晴,0
44,优,1,7,杭州,2018-01-09,3-4级,西北风,晴,-2
48,优,1,9,杭州,2018-01-10,3-4级,西北风,晴,-2
59,良,2,9,杭州,2018-01-11,3-4级,西北风,晴,-2
72,良,2,7,杭州,2018-01-12,1-2级,东北风,晴,-2
98,良,2,8,杭州,2018-01-13,1-2级,东北风,晴,1
102,轻度污染,3,13,杭州,2018-01-14,1-2级,东南风,晴~多云,3
79,良,2,14,杭州,2018-01-15,1-2级,东南风,多云~阴,6
96,良,2,16,杭州,2018-01-16,1-2级,东北风,阴,7
171,中度污染,4,16,杭州,2018-01-17,1-2级,东北风,多云,4
156,中度污染,4,13,杭州,2018-01-18,1-2级,东北风,多云,7
146,轻度污染,3,11,杭州,2018-01-19,1-2级,东北风,多云,7
121,轻度污染,3,9,杭州,2018-01-20,1-2级,东北风,小雨,5
74,良,2,8,杭州,2018-01-21,1-2级,东北风,中雨~小雨,5
39,优,1,12,杭州,2018-01-22,3-4级,北风,多云,4
115,轻度污染,3,9,杭州,2018-01-23,1-2级,东北风,阴~小雨,1
60,良,2,4,杭州,2018-01-24,3-4级,东北风,小雨~雨夹雪,0
37,优,1,2,杭州,2018-01-25,3-4级,北风,大雪,-1
36,优,1,1,杭州,2018-01-26,3-4级,东北风,小雪,-1
47,优,1,1,杭州,2018-01-27,4-5级,东北风,雨夹雪~中雨,-1
44,优,1,1,杭州,2018-01-28,4-5级,东北风,小雪~阴,-3
128,轻度污染,3,2,杭州,2018-01-29,1-2级,北风,多云~晴,-6
162,中度污染,4,3,杭州,2018-01-30,1-2级,北风,多云~雨夹雪,-2
169,中度污染,4,3,杭州,2018-01-31,3-4级,北风,小雪~多云,-3
143,轻度污染,3,5,杭州,2018-02-01,1-2级,西北风,多云,-2
128,轻度污染,3,6,杭州,2018-02-02,4-5级,北风,多云,-1
74,良,2,3,杭州,2018-02-03,1-2级,北风,多云~晴,-2
68,良,2,4,杭州,2018-02-04,1-2级,北风,晴,-3
76,良,2,6,杭州,2018-02-05,1-2级,北风,晴,-4
88,良,2,7,杭州,2018-02-06,1-2级,东风,晴,-2
93,良,2,9,杭州,2018-02-07,1-2级,南风,晴,-1
146,轻度污染,3,8,杭州,2018-02-08,1-2级,东北风,晴~多云,1
176,中度污染,4,10,杭州,2018-02-09,1-2级,东南风,多云~小雨,2
132,轻度污染,3,5,杭州,2018-02-10,3-4级,西北风,小雨~多云,0
91,良,2,9,杭州,2018-02-11,3-4级,西北风,晴,-2
74,良,2,11,杭州,2018-02-12,4-5级,西北风,晴,-2
55,良,2,14,杭州,2018-02-13,1-2级,东南风,晴,2
68,良,2,20,杭州,2018-02-14,1-2级,南风,多云~阴,7
101,轻度污染,3,12,杭州,2018-02-15,3-4级,东北风,小雨,7
64,良,2,9,杭州,2018-02-16,1-2级,东北风,小雨~阴,6
66,良,2,12,杭州,2018-02-17,1-2级,东风,多云~阴,3
62,良,2,13,杭州,2018-02-18,3-4级,东风,阵雨~小雨,7
28,优,1,9,杭州,2018-02-19,微风,无持续风向,小雨,7
67,良,2,8,杭州,2018-02-20,1-2级,东风,中雨,4
48,优,1,8,杭州,2018-02-21,3-4级,东北风,小雨,4
71,良,2,9,杭州,2018-02-22,1-2级,南风,阴~晴,2
42,优,1,16,杭州,2018-02-23,1-2级,南风,晴~多云,4
67,良,2,11,杭州,2018-02-24,1-2级,北风,中雨~小雨,7
65,良,2,10,杭州,2018-02-25,1-2级,北风,阴~晴,5
52,良,2,15,杭州,2018-02-26,1-2级,东南风,晴~多云,5
55,良,2,18,杭州,2018-02-27,3-4级,东南风,多云~小雨,8
40,优,1,17,杭州,2018-02-28,5-6级,西北风,小雨~多云,6
63,良,2,18,杭州,2018-03-01,3-4级,东北风,多云~阵雨,7
50,优,1,12,杭州,2018-03-02,3-4级,东南风,阵雨,10
47,优,1,27,杭州,2018-03-03,1-2级,南风,阴,13
57,良,2,28,杭州,2018-03-04,4-5级,南风,多云~中雨,8
36,优,1,10,杭州,2018-03-05,1-2级,北风,小雨~阴,7
50,优,1,11,杭州,2018-03-06,3-4级,东北风,阴~多云,8
42,优,1,10,杭州,2018-03-07,1-2级,东风,中雨~小雨,6
42,优,1,11,杭州,2018-03-08,4-5级,北风,阴~多云,3
124,轻度污染,3,12,杭州,2018-03-09,1-2级,北风,晴,1
105,轻度污染,3,17,杭州,2018-03-10,1-2级,东南风,晴,5
99,良,2,21,杭州,2018-03-11,3-4级,东南风,多云~阴,9
74,良,2,24,杭州,2018-03-12,1-2级,南风,多云,12
66,良,2,25,杭州,2018-03-13,1-2级,南风,多云~阴,14
72,良,2,25,杭州,2018-03-14,3-4级,东南风,小雨,15
84,良,2,24,杭州,2018-03-15,1-2级,南风,阵雨~中雨,9
46,优,1,12,杭州,2018-03-16,4-5级,东北风,小雨~阴,8
55,良,2,16,杭州,2018-03-17,1-2级,东南风,多云,9
60,良,2,16,杭州,2018-03-18,1-2级,南风,小雨~中雨,9
38,优,1,11,杭州,2018-03-19,3-4级,北风,小雨,7
48,优,1,10,杭州,2018-03-20,4-5级,北风,小雨~阴,6
48,优,1,10,杭州,2018-03-21,4-5级,西北风,阴~多云,3
66,良,2,18,杭州,2018-03-22,1-2级,西南风,晴~多云,6
77,良,2,22,杭州,2018-03-23,1-2级,东南风,多云,10
92,良,2,24,杭州,2018-03-24,1-2级,南风,多云~阵雨,12
84,良,2,23,杭州,2018-03-25,1-2级,南风,阴~阵雨,14
63,良,2,21,杭州,2018-03-26,1-2级,南风,阵雨~多云,12
60,良,2,24,杭州,2018-03-27,1-2级,南风,多云~晴,13
69,良,2,27,杭州,2018-03-28,1-2级,东南风,晴~多云,14
71,良,2,28,杭州,2018-03-29,1-2级,东风,多云~阴,16
60,良,2,24,杭州,2018-03-30,3-4级,东风,多云,13
65,良,2,26,杭州,2018-03-31,1-2级,东南风,多云,14
73,良,2,29,杭州,2018-04-01,3-4级,南风,多云,17
84,良,2,28,杭州,2018-04-02,3-4级,南风,阵雨,18
64,良,2,26,杭州,2018-04-03,1-2级,南风,阵雨,16
68,良,2,23,杭州,2018-04-04,3-4级,东北风,阵雨,15
61,良,2,17,杭州,2018-04-05,3-4级,北风,中雨,10
74,良,2,15,杭州,2018-04-06,5-6级,西北风,多云,7
73,良,2,15,杭州,2018-04-07,4-5级,北风,晴,5
63,良,2,23,杭州,2018-04-08,3-4级,西南风,晴,10
66,良,2,27,杭州,2018-04-09,1-2级,南风,晴,14
70,良,2,30,杭州,2018-04-10,3-4级,南风,晴~多云,18
82,良,2,28,杭州,2018-04-11,3-4级,东北风,阵雨,17
80,良,2,24,杭州,2018-04-12,3-4级,东风,阵雨,16
53,良,2,23,杭州,2018-04-13,3-4级,东风,阵雨~中雨,15
43,优,1,15,杭州,2018-04-14,3-4级,北风,阵雨~多云,12
70,良,2,19,杭州,2018-04-15,1-2级,东北风,多云,10
102,轻度污染,3,18,杭州,2018-04-16,1-2级,东北风,阴~多云,10
112,轻度污染,3,22,杭州,2018-04-17,1-2级,东风,多云,9
91,良,2,27,杭州,2018-04-18,1-2级,东风,晴,11
87,良,2,29,杭州,2018-04-19,3-4级,东南风,晴,15
67,良,2,31,杭州,2018-04-20,3-4级,东南风,晴~多云,16
63,良,2,29,杭州,2018-04-21,3-4级,东南风,阵雨,19
62,良,2,30,杭州,2018-04-22,1-2级,南风,阵雨~中雨,22
49,优,1,25,杭州,2018-04-23,1-2级,北风,中雨~小雨,15
34,优,1,18,杭州,2018-04-24,4-5级,北风,多云~晴,11
61,良,2,23,杭州,2018-04-25,3-4级,北风,晴~阴,13
87,良,2,24,杭州,2018-04-26,1-2级,东风,多云~阵雨,16
90,良,2,28,杭州,2018-04-27,1-2级,东北风,晴,16
